gender,age_group,transformation,image_id_01,distortion_level_11,distortion_level_12,distortion_level_21,distortion_level_22,reaction_time_ms,answer
woman,18-30,translation,21,10,8,4,1,5406,2
woman,18-30,translation,23,4,7,3,2,8059,2
woman,18-30,translation,24,2,6,8,10,6190,1
woman,18-30,translation,24,6,5,10,7,4969,2
woman,18-30,translation,24,8,9,2,1,4095,2
woman,18-30,translation,24,8,9,6,2,4098,2
woman,18-30,translation,1,3,2,7,10,4881,2
woman,18-30,translation,1,5,3,8,7,12188,2
woman,18-30,translation,1,5,4,1,3,11678,1
woman,18-30,translation,1,5,6,8,9,6526,1
woman,18-30,translation,2,2,5,8,10,7569,1
woman,18-30,translation,2,4,1,5,7,5538,1
woman,18-30,translation,2,7,9,3,4,7434,1
woman,18-30,translation,4,2,4,9,10,9434,1
woman,18-30,translation,4,4,7,10,8,5457,1
woman,18-30,translation,5,7,4,2,1,11182,1
woman,18-30,translation,6,5,4,6,9,7258,2
woman,18-30,translation,7,2,4,7,5,12306,2
woman,18-30,translation,7,2,5,7,6,12194,1
woman,18-30,translation,7,6,4,10,9,8797,2
woman,18-30,translation,8,3,5,8,6,6914,2
woman,18-30,translation,8,4,7,2,1,6657,1
woman,18-30,translation,9,1,6,8,9,4893,1
woman,18-30,translation,9,4,7,9,10,4528,1
woman,18-30,translation,10,9,5,2,3,13311,1
woman,18-30,translation,11,10,8,6,7,10276,2
woman,18-30,translation,12,5,8,3,2,3911,1
woman,18-30,translation,12,10,6,1,4,5920,2
woman,18-30,translation,13,2,1,8,4,4634,2
woman,18-30,translation,13,6,9,1,4,8186,1
woman,18-30,translation,14,3,2,4,9,5159,2
woman,18-30,translation,14,4,5,9,6,9028,2
woman,18-30,translation,14,9,10,1,4,7269,2
woman,18-30,translation,15,1,3,10,4,7762,2
woman,18-30,translation,16,1,5,9,8,4098,2
woman,18-30,translation,16,7,8,2,6,5413,2
woman,18-30,translation,17,5,2,7,6,8784,1
woman,18-30,translation,18,6,8,5,3,9795,2
woman,18-30,translation,19,1,6,9,7,10546,1
woman,18-30,translation,19,8,9,1,3,7274,2
woman,18-30,translation,20,2,4,10,9,7135,1
woman,18-30,translation,20,10,9,1,6,6946,2
woman,18-30,translation,21,2,1,4,5,9303,2
woman,18-30,translation,21,5,7,3,2,7996,1
woman,18-30,translation,21,8,9,4,5,11123,1
woman,18-30,translation,22,2,7,8,10,5689,1
woman,18-30,translation,23,2,1,4,10,4941,2
woman,18-30,translation,23,4,2,10,7,6317,2
woman,18-30,translation,23,4,5,1,3,6743,2
woman,18-30,translation,23,8,9,3,5,5917,2
woman,18-30,translation,23,9,10,6,8,8097,2
woman,18-30,translation,24,1,3,7,10,8447,2
woman,18-30,translation,24,2,1,3,6,4585,2
woman,18-30,translation,24,3,5,9,6,5373,2
woman,18-30,scale,1,3,5,9,10,4011,2
woman,18-30,scale,1,8,7,2,5,4914,2
woman,18-30,scale,1,9,7,2,3,8303,1
woman,18-30,scale,2,1,4,7,8,3705,1
woman,18-30,scale,2,5,10,3,1,4848,2
woman,18-30,scale,2,6,8,3,5,5841,2
woman,18-30,scale,2,10,8,4,3,5232,2
woman,18-30,scale,3,6,2,7,8,4521,1
woman,18-30,scale,4,6,9,3,2,4587,1
woman,18-30,scale,4,10,9,3,7,3830,1
woman,18-30,scale,5,3,1,8,7,7086,2
woman,18-30,scale,7,1,2,10,8,6113,1
woman,18-30,scale,7,2,7,9,8,3603,2
woman,18-30,scale,7,5,1,10,9,3898,1
woman,18-30,scale,7,10,5,3,4,4928,1
woman,18-30,scale,9,4,1,7,10,5464,2
woman,18-30,scale,9,9,6,5,1,5279,2
woman,18-30,scale,10,4,3,10,5,6451,2
woman,18-30,scale,11,9,6,4,3,3339,1
woman,18-30,scale,11,10,8,1,6,8285,1
woman,18-30,scale,12,2,3,4,5,8341,1
woman,18-30,scale,12,3,5,9,10,6132,1
woman,18-30,scale,12,8,7,2,1,6014,1
woman,18-30,scale,12,10,7,2,5,5470,1
woman,18-30,scale,13,4,3,1,2,6619,1
woman,18-30,scale,13,7,6,3,5,6321,1
woman,18-30,scale,14,5,2,10,7,4001,2
woman,18-30,scale,14,7,3,8,9,7291,1
woman,18-30,scale,15,6,8,1,5,5527,2
woman,18-30,scale,16,7,6,2,1,9758,1
woman,18-30,scale,16,9,5,4,3,4142,2
woman,18-30,scale,17,4,5,8,10,4801,1
woman,18-30,scale,17,5,9,1,3,9157,1
woman,18-30,scale,17,8,5,3,1,4816,2
woman,18-30,scale,17,10,9,6,1,4276,2
woman,18-30,scale,18,1,2,10,4,4622,2
woman,18-30,scale,18,7,8,5,1,5042,2
woman,18-30,scale,18,9,8,1,3,6391,1
woman,18-30,scale,19,8,4,9,10,8288,1
woman,18-30,scale,20,1,3,4,8,4374,2
woman,18-30,scale,20,5,10,3,2,4274,1
woman,18-30,scale,20,9,5,4,3,3932,1
woman,18-30,scale,22,1,2,10,8,4442,1
woman,18-30,scale,22,4,1,9,10,4608,1
woman,18-30,scale,23,4,3,6,9,5660,2
woman,18-30,scale,23,5,9,3,2,5535,1
woman,18-30,scale,24,1,4,8,10,5197,2
woman,18-30,gaussian_noise,1,7,5,1,3,4235,2
woman,18-30,gaussian_noise,1,10,8,7,2,4285,2
woman,18-30,gaussian_noise,2,5,6,3,1,3952,2
woman,18-30,gaussian_noise,2,8,9,7,2,3432,2
woman,18-30,gaussian_noise,3,1,5,10,6,4134,1
woman,18-30,gaussian_noise,3,4,1,5,8,3328,1
woman,18-30,gaussian_noise,3,10,7,1,2,3347,2
woman,18-30,gaussian_noise,5,4,6,10,9,5862,1
woman,18-30,gaussian_noise,6,4,2,8,10,4388,1
woman,18-30,gaussian_noise,6,5,2,7,10,3325,1
woman,18-30,gaussian_noise,6,7,5,2,1,4884,2
woman,18-30,gaussian_noise,6,8,10,6,7,5202,2
woman,18-30,gaussian_noise,6,10,9,3,6,4112,2
woman,18-30,gaussian_noise,7,4,1,8,5,4602,1
woman,18-30,gaussian_noise,8,2,5,9,8,4923,1
woman,18-30,gaussian_noise,8,5,6,7,9,7928,1
woman,18-30,gaussian_noise,8,8,5,3,1,7350,2
woman,18-30,gaussian_noise,8,8,9,6,3,4752,2
woman,18-30,gaussian_noise,8,10,9,8,5,8250,1
woman,18-30,gaussian_noise,9,1,8,9,10,3801,1
woman,18-30,gaussian_noise,9,3,1,9,10,4882,1
woman,18-30,gaussian_noise,9,9,8,4,5,7616,2
woman,18-30,gaussian_noise,11,2,6,10,7,4588,1
woman,18-30,gaussian_noise,11,9,6,4,3,6692,2
woman,18-30,gaussian_noise,12,10,9,6,2,5613,2
woman,18-30,gaussian_noise,13,4,3,10,7,6348,1
woman,18-30,gaussian_noise,13,5,8,3,2,7631,1
woman,18-30,gaussian_noise,13,8,4,3,2,8711,2
woman,18-30,gaussian_noise,14,5,10,3,1,8466,1
woman,18-30,gaussian_noise,14,7,9,4,5,4328,2
woman,18-30,gaussian_noise,15,10,4,3,2,4786,1
woman,18-30,gaussian_noise,15,10,9,7,2,3226,2
woman,18-30,gaussian_noise,16,4,5,6,9,6771,1
woman,18-30,gaussian_noise,16,10,8,5,2,4797,2
woman,18-30,gaussian_noise,17,1,3,9,8,4778,1
woman,18-30,gaussian_noise,17,3,7,8,9,3100,1
woman,18-30,gaussian_noise,17,6,3,7,8,5654,1
woman,18-30,gaussian_noise,18,5,7,9,8,4262,1
woman,18-30,gaussian_noise,20,6,7,5,2,3713,2
woman,18-30,gaussian_noise,21,5,3,10,7,8825,1
woman,18-30,gaussian_noise,21,9,10,4,6,4704,2
woman,18-30,gaussian_noise,22,1,2,9,6,4732,1
woman,18-30,gaussian_noise,22,2,3,8,5,4397,1
woman,18-30,gaussian_noise,23,4,5,7,6,4998,1
woman,18-30,gaussian_noise,23,6,10,2,4,3618,2
woman,18-30,gaussian_noise,23,9,6,4,5,3949,1
woman,18-30,gaussian_noise,23,10,9,1,2,3593,2
woman,18-30,gaussian_noise,24,10,9,8,1,3304,2
woman,18-30,scale,1,5,3,8,9,6154,1
woman,18-30,scale,1,10,8,4,2,5901,1
woman,18-30,scale,2,1,2,6,3,4403,2
woman,18-30,scale,2,3,1,4,10,4301,2
woman,18-30,scale,2,8,4,1,2,5661,1
woman,18-30,scale,3,1,4,9,8,4328,2
woman,18-30,scale,3,6,3,10,8,8365,1
woman,18-30,scale,4,3,8,9,10,5357,1
woman,18-30,scale,4,5,2,7,9,7083,2
woman,18-30,scale,4,5,10,4,2,6042,1
woman,18-30,scale,6,3,4,10,7,6820,1
woman,18-30,scale,6,7,9,6,3,6639,2
woman,18-30,scale,6,10,8,5,4,10760,2
woman,18-30,scale,7,2,1,7,4,4766,2
woman,18-30,scale,7,4,5,7,10,8349,2
woman,18-30,scale,7,7,5,10,9,6452,2
woman,18-30,scale,7,10,9,7,6,7645,2
woman,18-30,scale,8,4,3,7,5,6880,1
woman,18-30,scale,8,9,10,2,8,16974,2
woman,18-30,scale,9,1,2,3,9,4238,2
woman,18-30,scale,9,5,8,4,3,6324,1
woman,18-30,scale,9,7,6,4,3,8214,2
woman,18-30,scale,10,7,5,4,3,12830,1
woman,18-30,scale,14,6,5,4,2,25795,2
woman,18-30,scale,15,4,3,8,7,9981,2
woman,18-30,scale,15,5,2,8,9,6334,1
woman,18-30,scale,17,2,1,5,7,5411,2
woman,18-30,scale,17,6,5,7,9,6790,2
woman,18-30,scale,17,8,5,2,4,5498,1
woman,18-30,scale,18,4,10,3,1,5849,1
woman,18-30,scale,18,7,8,5,6,6032,1
woman,18-30,scale,19,1,3,10,7,8063,2
woman,18-30,scale,19,9,4,1,2,5890,1
woman,18-30,scale,19,9,6,4,1,7630,1
woman,18-30,scale,19,9,10,7,2,5872,2
woman,18-30,scale,20,1,2,5,3,7368,2
woman,18-30,scale,20,5,8,9,10,5432,2
woman,18-30,scale,20,7,8,4,3,8975,2
woman,18-30,scale,21,5,8,4,3,5767,1
woman,18-30,scale,21,8,6,5,4,8043,1
woman,18-30,scale,21,10,4,1,3,3966,1
woman,18-30,scale,22,2,4,6,8,6022,2
woman,18-30,scale,22,5,2,10,9,6947,2
woman,18-30,scale,23,3,6,8,9,5656,1
woman,18-30,scale,23,5,2,8,6,8934,1
